source,lat1,lon1,dest,lat2,lon2
URC,43.90710068,87.47419739,CGO,34.5196991,113.8410034
URC,43.90710068,87.47419739,CKG,29.71920013,106.6419983
URC,43.90710068,87.47419739,CTU,30.57850075,103.9469986
URC,43.90710068,87.47419739,KHG,39.54290009,76.01999664
URC,43.90710068,87.47419739,XIY,34.447102,108.751999
UYN,38.35971,109.590927,XIY,34.447102,108.751999
WNZ,27.912201,120.851997,CSX,28.18919945,113.2200012
WNZ,27.912201,120.851997,CTU,30.57850075,103.9469986
WNZ,27.912201,120.851997,HRB,45.62340164,126.25
WNZ,27.912201,120.851997,KWE,26.53849983,106.8010025
WNZ,27.912201,120.851997,SYX,18.30290031,109.4120026
WUH,30.7838,114.208,CKG,29.71920013,106.6419983
WUH,30.7838,114.208,CTU,30.57850075,103.9469986
WUH,30.7838,114.208,HRB,45.62340164,126.25
WUH,30.7838,114.208,JJN,24.7964,118.589996
WUH,30.7838,114.208,NNG,22.60829926,108.1719971
WUX,31.49440002,120.4290009,CKG,29.71920013,106.6419983
WUX,31.49440002,120.4290009,CTU,30.57850075,103.9469986
WXN,30.8017,108.433,CTU,30.57850075,103.9469986
WXN,30.8017,108.433,KMG,25.1019444,102.9291667
WXN,30.8017,108.433,PEK,40.08010101,116.5849991
WXN,30.8017,108.433,SZX,22.63929939,113.810997
XIC,27.9890995,102.1839981,CTU,30.57850075,103.9469986
XIY,34.447102,108.751999,BHY,21.5394,109.293999
XIY,34.447102,108.751999,CKG,29.71920013,106.6419983
XIY,34.447102,108.751999,CTU,30.57850075,103.9469986
XIY,34.447102,108.751999,FOC,25.93510056,119.663002
XIY,34.447102,108.751999,GXH,34.8105,102.6447
XIY,34.447102,108.751999,HRB,45.62340164,126.25
XIY,34.447102,108.751999,KMG,25.1019444,102.9291667
XIY,34.447102,108.751999,LXA,29.29780006,90.91190338
XIY,34.447102,108.751999,LYI,35.04610062,118.4120026
XIY,34.447102,108.751999,TNA,36.85720062,117.2160034
